monthssinceheatwave,treatment,replicate, sex,individualreplicate,weighting
3,10 day,p1,f,1,0.00093
3,10 day,p1,f,2,0.00107
3,10 day,p1,f,3,0.00094
3,10 day,p1,f,4,0.00125
3,10 day,p1,f,5,0.00102
3,10 day,p1,m,1,0.00104
3,10 day,p1,m,2,0.0009
3,10 day,p1,m,3,0.00092
3,10 day,p1,m,4,0.00087
3,10 day,p1,m,5,0.00104
3,10 day,p10,f,1,0.00112
3,10 day,p10,f,2,0.00091
3,10 day,p10,f,3,0.00093
3,10 day,p10,f,4,0.00098
3,10 day,p10,f,5,0.00106
3,10 day,p10,m,1,0.00115
3,10 day,p10,m,2,0.00106
3,10 day,p10,m,3,0.00106
3,10 day,p10,m,4,0.00108
3,10 day,p10,m,5,0.00104
3,10 day,p3,f,1,0.00097
3,10 day,p3,f,2,0.00094
3,10 day,p3,f,3,0.001
3,10 day,p3,f,4,0.00101
3,10 day,p3,f,5,0.001
3,10 day,p3,m,1,0.00123
3,10 day,p3,m,2,0.00117
3,10 day,p3,m,3,0.00109
3,10 day,p3,m,4,0.00109
3,10 day,p3,m,5,0.00101
3,10 day,p4,f,1,0.00124
3,10 day,p4,f,2,0.00097
3,10 day,p4,f,3,0.00115
3,10 day,p4,f,4,0.001
3,10 day,p4,f,5,0.001
3,10 day,p4,m,1,0.00099
3,10 day,p4,m,2,0.00098
3,10 day,p4,m,3,0.00093
3,10 day,p4,m,4,0.00103
3,10 day,p4,m,5,0.00099
3,10 day,p5,f,1,0.00088
3,10 day,p5,f,2,0.00108
3,10 day,p5,f,3,0.0009
3,10 day,p5,f,4,0.00105
3,10 day,p5,f,5,0.00091
3,10 day,p5,m,1,0.00125
3,10 day,p5,m,2,0.0009
3,10 day,p5,m,3,0.0012
3,10 day,p5,m,4,0.00098
3,10 day,p5,m,5,0.00098
3,10 day,p6,f,1,0.00108
3,10 day,p6,f,2,0.00097
3,10 day,p6,f,3,0.00106
3,10 day,p6,f,4,0.00105
3,10 day,p6,f,5,0.001
3,10 day,p6,m,1,0.00099
3,10 day,p6,m,2,0.00101
3,10 day,p6,m,3,0.00118
3,10 day,p6,m,4,0.00111
3,10 day,p6,m,5,0.00111
3,10 day,p7,f,1,0.00116
3,10 day,p7,f,2,0.00112
3,10 day,p7,f,3,0.00094
3,10 day,p7,f,4,0.00111
3,10 day,p7,f,5,0.00101
3,10 day,p7,m,1,0.00092
3,10 day,p7,m,2,0.00107
3,10 day,p7,m,3,0.00095
3,10 day,p7,m,4,0.0011
3,10 day,p7,m,5,0.00084
3,10 day,p8,f,1,0.00089
3,10 day,p8,f,2,0.00098
3,10 day,p8,f,3,0.0011
3,10 day,p8,f,4,0.00117
3,10 day,p8,f,5,0.00114
3,10 day,p8,m,1,0.00096
3,10 day,p8,m,2,0.00109
3,10 day,p8,m,3,0.00099
3,10 day,p8,m,4,0.00092
3,10 day,p8,m,5,0.00101
3,10 day,p9,f,1,0.00108
3,10 day,p9,f,2,0.0011
3,10 day,p9,f,3,0.00119
3,10 day,p9,f,4,0.00115
3,10 day,p9,f,5,0.00103
3,10 day,p9,m,1,0.00101
3,10 day,p9,m,2,0.00099
3,10 day,p9,m,3,0.001
3,10 day,p9,m,4,0.00118
3,10 day,p9,m,5,0.00096
3,15 day,p1,f,1,0.00091
3,15 day,p1,f,2,0.0011
3,15 day,p1,f,3,0.00104
3,15 day,p1,f,4,0.00102
3,15 day,p1,f,5,0.00106
3,15 day,p1,m,1,0.00107
3,15 day,p1,m,2,0.00097
3,15 day,p1,m,3,0.00104
3,15 day,p1,m,4,NA
3,15 day,p1,m,5,0.00108
3,15 day,p2,f,1,0.00118
3,15 day,p2,f,2,0.00109
3,15 day,p2,f,3,0.00104
3,15 day,p2,f,4,0.00113
3,15 day,p2,f,5,0.00113
3,15 day,p2,m,1,0.00107
3,15 day,p2,m,2,0.001
3,15 day,p2,m,3,0.00108
3,15 day,p2,m,4,0.001
3,15 day,p2,m,5,0.00115
3,15 day,p3,f,1,0.00113
3,15 day,p3,f,2,0.00106
3,15 day,p3,f,3,0.00114
3,15 day,p3,f,4,0.00107
3,15 day,p3,f,5,0.001
3,15 day,p3,m,1,0.00106
3,15 day,p3,m,2,0.00092
3,15 day,p3,m,3,0.00099
3,15 day,p3,m,4,0.00104
3,15 day,p3,m,5,0.00085
3,15 day,p5,f,1,0.00106
3,15 day,p5,f,2,0.00098
3,15 day,p5,f,3,0.00102
3,15 day,p5,f,4,0.00101
3,15 day,p5,f,5,0.00114
3,15 day,p5,m,1,0.00098
3,15 day,p5,m,2,0.00094
3,15 day,p5,m,3,0.00107
3,15 day,p5,m,4,0.0009
3,15 day,p5,m,5,0.00098
3,15 day,p6,f,1,0.00096
3,15 day,p6,f,2,0.00084
3,15 day,p6,f,3,0.00101
3,15 day,p6,f,4,0.00095
3,15 day,p6,f,5,0.00095
3,15 day,p6,m,1,0.00089
3,15 day,p6,m,2,0.00097
3,15 day,p6,m,3,0.00115
3,15 day,p6,m,4,0.00119
3,15 day,p6,m,5,0.00085
3,15 day,p7,f,1,0.00101
3,15 day,p7,f,2,0.00088
3,15 day,p7,f,3,0.00111
3,15 day,p7,f,4,0.00109
3,15 day,p7,f,5,0.00098
3,15 day,p7,m,1,0.00108
3,15 day,p7,m,2,0.00097
3,15 day,p7,m,3,0.00111
3,15 day,p7,m,4,0.00101
3,15 day,p7,m,5,0.0009
3,15 day,p8,f,1,0.00093
3,15 day,p8,f,2,0.00104
3,15 day,p8,f,3,0.00092
3,15 day,p8,f,4,0.00093
3,15 day,p8,f,5,0.00112
3,15 day,p8,m,1,0.00093
3,15 day,p8,m,2,0.00106
3,15 day,p8,m,3,0.00097
3,15 day,p8,m,4,0.00101
3,15 day,p8,m,5,0.00099
3,15 day,p9,f,1,0.00088
3,15 day,p9,f,2,0.0011
3,15 day,p9,f,3,0.00106
3,15 day,p9,f,4,0.00115
3,15 day,p9,f,5,0.00116
3,15 day,p9,m,1,0.00094
3,15 day,p9,m,2,0.00098
3,15 day,p9,m,3,0.001
3,15 day,p9,m,4,0.00104
3,15 day,p9,m,5,0.00104
3,5 day,p1,f,1,0.00104
3,5 day,p1,f,2,0.00113
3,5 day,p1,f,3,0.00103
3,5 day,p1,f,4,0.00096
3,5 day,p1,f,5,0.00102
3,5 day,p1,m,1,0.00105
3,5 day,p1,m,2,0.00097
3,5 day,p1,m,3,0.00085
3,5 day,p1,m,4,0.00122
3,5 day,p1,m,5,0.00124
3,5 day,p3,f,1,0.001
3,5 day,p3,f,2,0.00122
3,5 day,p3,f,3,0.00107
3,5 day,p3,f,4,0.00113
3,5 day,p3,f,5,0.00104
3,5 day,p3,m,1,0.00115
3,5 day,p3,m,2,0.00091
3,5 day,p3,m,3,0.00086
3,5 day,p3,m,4,0.00084
3,5 day,p3,m,5,0.00101
3,5 day,p4,f,1,0.00105
3,5 day,p4,f,2,0.00104
3,5 day,p4,f,3,0.001
3,5 day,p4,f,4,0.00096
3,5 day,p4,f,5,0.00109
3,5 day,p4,m,1,0.00093
3,5 day,p4,m,2,0.00085
3,5 day,p4,m,3,0.00111
3,5 day,p4,m,4,0.00088
3,5 day,p4,m,5,0.001
3,5 day,p5,f,1,0.00083
3,5 day,p5,f,2,0.00112
3,5 day,p5,f,3,0.00113
3,5 day,p5,f,4,0.00102
3,5 day,p5,f,5,0.00115
3,5 day,p5,m,1,0.00087
3,5 day,p5,m,2,0.00109
3,5 day,p5,m,3,0.00092
3,5 day,p5,m,4,0.00098
3,5 day,p5,m,5,0.00109
3,5 day,p6,f,1,0.00106
3,5 day,p6,f,2,0.00097
3,5 day,p6,f,3,0.00095
3,5 day,p6,f,4,0.00106
3,5 day,p6,f,5,0.0011
3,5 day,p6,m,1,0.00109
3,5 day,p6,m,2,0.00105
3,5 day,p6,m,3,0.00103
3,5 day,p6,m,4,0.00115
3,5 day,p6,m,5,0.00092
3,5 day,p8,f,1,0.00088
3,5 day,p8,f,2,0.00094
3,5 day,p8,f,3,0.00094
3,5 day,p8,f,4,0.00102
3,5 day,p8,f,5,0.00099
3,5 day,p8,m,1,0.00097
3,5 day,p8,m,2,0.00103
3,5 day,p8,m,3,0.00087
3,5 day,p8,m,4,0.00108
3,5 day,p8,m,5,0.0009
3,5 day,p9,f,1,0.00096
3,5 day,p9,f,2,0.00091
3,5 day,p9,f,3,0.00095
3,5 day,p9,f,4,0.00111
3,5 day,p9,f,5,0.001
3,5 day,p9,m,1,0.00106
3,5 day,p9,m,2,0.00102
3,5 day,p9,m,3,0.00094
3,5 day,p9,m,4,0.001
3,5 day,p9,m,5,0.00085
3,control,p1,f,1,0.00115
