treatment,replicate,ID,a,b,K
control,p1,control_p1,5.852528918614909,0.030341322660206137,6.0356587894113485
control,p2,control_p2,6.117814765234676,-0.008402817871782205,6.066836245208265
control,p3,control_p3,6.133030879534287,0.01239192555488234,6.2099845457218414
control,p4,control_p4,6.130372695852788,0.015570658562085182,6.227336425078929
control,p6,control_p6,5.982831545398266,0.012099364613575766,6.056106587134686
control,p8,control_p8,6.051914801835087,-0.007464031736725534,6.007077782620628
control,p9,control_p9,6.047047492489931,-0.005307097406965983,6.015124640109827
control,p10,control_p10,5.6190622444370035,0.06330557310928674,5.998821048918865
5 day,p1,5 day_p1,5.970486077637234,0.0015022259815934789,5.97946859071032
5 day,p3,5 day_p3,5.940870759765443,0.010194688897689356,6.002059893121111
5 day,p4,5 day_p4,5.970586568072967,0.01703645096456216,6.074067114626766
5 day,p5,5 day_p5,5.941653428682009,0.01610548496714993,6.038913052059884
5 day,p6,5 day_p6,5.9541236564387905,0.024828105341163486,6.105717042349584
5 day,p8,5 day_p8,5.924446015069566,0.024617853407199373,6.073974222067532
5 day,p9,5 day_p9,5.821761707988699,0.03660815293047073,6.042984197652791
10 day,p1,10 day_p1,5.73941675256316,0.02911322473113107,5.9115201677082645
10 day,p3,10 day_p3,5.624141309335885,0.06277479517171976,6.000842999486285
10 day,p4,10 day_p4,5.022893052789729,0.12314121742233514,5.728280485512322
10 day,p5,10 day_p5,5.840907700500008,0.015474023505940869,5.932710603837737
10 day,p6,10 day_p6,6.12511723586459,-0.06724407334065965,5.739190677060316
10 day,p7,10 day_p7,5.598111156564064,0.051916271249239004,5.904659036750261
10 day,p8,10 day_p8,5.581039768182719,0.039498481288580384,5.810547572761859
10 day,p9,10 day_p9,5.670999634747222,0.047193841529682215,5.951892296594436
10 day,p10,10 day_p10,6.133898166545627,-0.021303529847664728,6.0059502266290465
15 day,p1,15 day_p1,5.534108198900215,0.04868737323913844,5.817339161936053
15 day,p2,15 day_p2,5.0115837272051555,0.1388108042949711,5.819375988690067
15 day,p3,15 day_p3,6.216958801180945,-0.10060111948342312,5.648693873852254
15 day,p5,15 day_p5,5.793512629290576,0.03304478009170913,5.991500443877898
15 day,p6,15 day_p6,5.605210837991251,0.00310752400721255,5.622683461833857
15 day,p7,15 day_p7,5.695802777627797,-0.022870692084969012,5.568448506445868
15 day,p8,15 day_p8,5.236254253234944,0.09066973370022775,5.758363542150863
15 day,p9,15 day_p9,5.454802869778659,0.05841289670863036,5.793200491713507
