count,monthssinceheatwave,treatment,replicate,live,dead,birthswithnegs,births
1,0,control,p1,50,0,0,NA
1,0,control,p2,54,0,0,NA
1,0,control,p3,53,0,0,NA
1,0,control,p4,54,0,0,NA
1,0,control,p6,51,0,0,NA
1,0,control,p8,52,0,0,NA
1,0,control,p9,53,0,0,NA
1,0,control,p10,54,0,0,NA
1,0,5 day ,p1,51,0,0,NA
1,0,5 day ,p3,56,0,0,NA
1,0,5 day ,p4,51,0,0,NA
1,0,5 day ,p5,55,0,0,NA
1,0,5 day ,p6,53,0,0,NA
1,0,5 day ,p8,56,0,0,NA
1,0,5 day ,p9,55,0,0,NA
1,0,10 day ,p1,54,0,0,NA
1,0,10 day ,p3,57,0,0,NA
1,0,10 day ,p4,54,0,0,NA
1,0,10 day ,p5,54,0,0,NA
1,0,10 day ,p6,52,0,0,NA
1,0,10 day ,p7,54,0,0,NA
1,0,10 day ,p8,54,0,0,NA
1,0,10 day ,p9,52,0,0,NA
1,0,10 day ,p10,53,0,0,NA
1,0,15 day ,p1,50,0,0,NA
1,0,15 day ,p2,53,0,0,NA
1,0,15 day ,p3,53,0,0,NA
1,0,15 day ,p5,52,0,0,NA
1,0,15 day ,p6,54,0,0,NA
1,0,15 day ,p7,54,0,0,NA
1,0,15 day ,p8,56,0,0,NA
1,0,15 day ,p9,52,0,0,NA
2,1,control,p1,392,1,343,343
2,1,control,p2,439,0,385,385
2,1,control,p3,484,1,432,432
2,1,control,p4,489,3,438,438
2,1,control,p6,416,1,366,366
2,1,control,p8,412,2,362,362
2,1,control,p9,414,2,363,363
2,1,control,p10,356,0,302,302
2,1,5 day ,p1,394,0,343,343
2,1,5 day ,p3,396,3,343,343
2,1,5 day ,p4,419,2,370,370
2,1,5 day ,p5,406,0,351,351
2,1,5 day ,p6,425,0,372,372
2,1,5 day ,p8,413,0,357,357
2,1,5 day ,p9,391,1,337,337
2,1,10 day ,p1,349,2,297,297
2,1,10 day ,p3,357,4,304,304
2,1,10 day ,p4,250,3,199,199
2,1,10 day ,p5,366,0,312,312
2,1,10 day ,p6,354,1,303,303
2,1,10 day ,p7,332,3,281,281
2,1,10 day ,p8,310,0,256,256
2,1,10 day ,p9,350,1,299,299
2,1,10 day ,p10,424,0,371,371
2,1,15 day ,p1,305,0,255,255
2,1,15 day ,p2,261,2,210,210
2,1,15 day ,p3,344,0,291,291
2,1,15 day ,p5,374,1,323,323
2,1,15 day ,p6,273,3,222,222
2,1,15 day ,p7,270,3,219,219
2,1,15 day ,p8,271,0,215,215
2,1,15 day ,p9,295,0,243,243
3,3,control,p1,407,5,20,20
3,3,control,p2,442,3,6,6
3,3,control,p3,501,1,18,18
3,3,control,p4,509,3,23,23
3,3,control,p6,416,3,3,3
3,3,control,p8,379,3,-30,0
3,3,control,p9,401,7,-6,0
3,3,control,p10,378,0,22,22
3,3,5 day ,p1,406,0,12,12
3,3,5 day ,p3,423,1,28,28
3,3,5 day ,p4,425,9,15,15
3,3,5 day ,p5,415,4,13,13
3,3,5 day ,p6,455,1,31,31
3,3,5 day ,p8,432,3,22,22
3,3,5 day ,p9,417,4,30,30
3,3,10 day ,p1,368,6,25,25
3,3,10 day ,p3,402,4,49,49
3,3,10 day ,p4,281,3,34,34
3,3,10 day ,p5,377,1,12,12
3,3,10 day ,p6,362,3,11,11
3,3,10 day ,p7,347,3,18,18
3,3,10 day ,p8,338,2,30,30
3,3,10 day ,p9,374,0,24,24
3,3,10 day ,p10,414,4,-6,0
3,3,15 day ,p1,339,1,35,35
3,3,15 day ,p2,321,0,60,60
3,3,15 day ,p3,361,9,26,26
3,3,15 day ,p5,397,1,24,24
3,3,15 day ,p6,320,3,50,50
3,3,15 day ,p7,282,0,12,12
3,3,15 day ,p8,306,7,42,42
3,3,15 day ,p9,304,2,11,11
4,5,control,p1,434,7,34,34
4,5,control,p2,433,14,5,5
4,5,control,p3,492,6,-3,0
4,5,control,p4,502,10,3,3
4,5,control,p6,429,5,18,18
4,5,control,p8,425,4,50,50
4,5,control,p9,409,12,20,20
4,5,control,p10,402,6,30,30
4,5,5 day ,p1,395,11,0,0
4,5,5 day ,p3,406,14,-3,0
4,5,5 day ,p4,439,13,27,27
4,5,5 day ,p5,420,10,15,15
4,5,5 day ,p6,439,13,-3,0
4,5,5 day ,p8,443,10,21,21
4,5,5 day ,p9,418,7,8,8
4,5,10 day ,p1,381,10,23,23
4,5,10 day ,p3,401,9,8,8
4,5,10 day ,p4,302,11,32,32
4,5,10 day ,p5,NA,8,NA,NA
4,5,10 day ,p6,329,20,-13,0
4,5,10 day ,p7,392,10,55,55
4,5,10 day ,p8,351,10,23,23
4,5,10 day ,p9,397,23,46,46
4,5,10 day ,p10,402,5,-7,0
4,5,15 day ,p1,365,10,36,36
4,5,15 day ,p2,329,15,23,23
4,5,15 day ,p3,314,39,-8,0
4,5,15 day ,p5,400,7,10,10
4,5,15 day ,p6,309,26,15,15
4,5,15 day ,p7,293,21,32,32
4,5,15 day ,p8,327,10,31,31
4,5,15 day ,p9,349,17,62,62
5,7,control,p1,413,34,13,13
5,7,control,p2,419,19,5,5
5,7,control,p3,500,7,15,15
5,7,control,p4,508,16,22,22
5,7,control,p6,435,14,20,20
5,7,control,p8,417,13,5,5
5,7,control,p9,419,9,19,19
5,7,control,p10,424,18,40,40
5,7,5 day ,p1,385,33,23,23
5,7,5 day ,p3,385,23,2,2
5,7,5 day ,p4,439,29,29,29
5,7,5 day ,p5,423,21,24,24
5,7,5 day ,p6,451,18,30,30
5,7,5 day ,p8,428,29,14,14
5,7,5 day ,p9,427,32,41,41
5,7,10 day ,p1,359,42,20,20
5,7,10 day ,p3,405,25,29,29
5,7,10 day ,p4,327,23,48,48
5,7,10 day ,p5,247,56,NA,NA
5,7,10 day ,p6,244,81,-4,0
5,7,10 day ,p7,361,47,16,16
5,7,10 day ,p8,314,24,-13,0
5,7,10 day ,p9,381,23,7,7
5,7,10 day ,p10,401,32,31,31
5,7,15 day ,p1,308,64,7,7
5,7,15 day ,p2,345,21,37,37
5,7,15 day ,p3,187,126,-1,0
5,7,15 day ,p5,402,28,30,30
5,7,15 day ,p6,216,92,-1,0
5,7,15 day ,p7,218,73,-2,0
5,7,15 day ,p8,313,31,17,17
5,7,15 day ,p9,330,24,5,5
